dataset,model,rule,reference,metric,delta,ci_low,ci_high,effectiveness_verdict,claim_of_improvement
wands,minilm,field_priority_type,field_priority_type,Recall@20,0.0737418254199106,0.0532238382197199,0.0967688640303395,improves,supported
wands,minilm,field_priority_type,field_priority_type,Recall@100,0.0852318970859269,0.0669327159248549,0.105409121575889,improves,supported
wands,minilm,field_priority_type,BM25,nDCG@10,0.038648575842505,0.0227625748272013,0.0549676239691184,improves,supported
wands,minilm,field_priority_type,BM25,nDCG@20,0.0440538337573862,0.0298356675261491,0.0589277835512551,improves,supported
wands,minilm,field_priority_type,BM25,cNDCG@10,0.012587778152162,0.0002187267047089,0.0257072035236584,improves,supported
wands,minilm,field_priority_type,BM25,cNDCG@20,0.0175618500259854,0.0068516821172368,0.028958266202362,improves,supported
wands,minilm,field_priority_type,BM25,Recall@20,0.0187527364669125,0.0018730013941966,0.036896616716342,improves,supported
wands,minilm,field_priority_type,BM25,Recall@100,0.0247747197936583,0.0097394002441633,0.0410192607710229,improves,supported
wands,minilm,field_priority_type,raw_hybrid_seven_mean,nDCG@10,0.0009148694724738,-0.0044762852154908,0.0063879646431107,inconclusive; equivalence not established,inconclusive
wands,minilm,field_priority_type,raw_hybrid_seven_mean,nDCG@20,0.0005137475689053,-0.0040291094168119,0.0051883318443153,inconclusive; equivalence not established,inconclusive
wands,minilm,field_priority_type,raw_hybrid_seven_mean,cNDCG@10,-0.0012228519010212,-0.0057998797589234,0.0033202371362709,inconclusive; equivalence not established,inconclusive
wands,minilm,field_priority_type,raw_hybrid_seven_mean,cNDCG@20,-0.0003955573759591,-0.0037038251772242,0.0030061707823322,inconclusive; equivalence not established,inconclusive
wands,minilm,field_priority_type,raw_hybrid_seven_mean,Recall@20,0.0057731202805289,-0.0010275882651722,0.0127204472321991,inconclusive; equivalence not established,inconclusive
wands,minilm,field_priority_type,raw_hybrid_seven_mean,Recall@100,0.0016237715457197,-0.0029734684903555,0.0065775256492797,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,lexical_ascending,nDCG@10,0.0228308547583444,0.0092990619230672,0.0359943318613632,improves,supported
wands,bge_base,lexical_ascending,lexical_ascending,nDCG@20,0.0258806907252608,0.0141624513890891,0.0378231745744123,improves,supported
wands,bge_base,lexical_ascending,lexical_ascending,cNDCG@10,0.0038675435829116,-0.0073376580566174,0.0148403510989033,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,lexical_ascending,cNDCG@20,0.0024636305144007,-0.0066184665181364,0.0112842717606237,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,lexical_ascending,Recall@20,0.0137724671608347,0.0024246842066852,0.0257652666342529,improves,supported
wands,bge_base,lexical_ascending,lexical_ascending,Recall@100,0.0491530540192423,0.0305682681998443,0.069044600903948,improves,supported
wands,bge_base,lexical_ascending,BM25,nDCG@10,0.06713880724492,0.0516645086905089,0.0836955751968483,improves,supported
wands,bge_base,lexical_ascending,BM25,nDCG@20,0.0691444594907566,0.0553607429761182,0.083209892218567,improves,supported
wands,bge_base,lexical_ascending,BM25,cNDCG@10,0.0398564816459117,0.0276696240633938,0.0523116693378415,improves,supported
wands,bge_base,lexical_ascending,BM25,cNDCG@20,0.0404172836685448,0.0299272886166892,0.0513384818076331,improves,supported
wands,bge_base,lexical_ascending,BM25,Recall@20,0.0272981564377343,0.0084239762468798,0.0465534925177298,improves,supported
wands,bge_base,lexical_ascending,BM25,Recall@100,0.0491966427758704,0.0302009896176978,0.069054499615658,improves,supported
wands,bge_base,lexical_ascending,raw_hybrid_seven_mean,nDCG@10,-0.0012292861908696,-0.0049381765940574,0.0023470995207579,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,raw_hybrid_seven_mean,nDCG@20,-0.0014451341253958,-0.004016856312736,0.0010970987963983,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,raw_hybrid_seven_mean,cNDCG@10,-0.0025441360969575,-0.005484877367835,0.0003371492247821,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,raw_hybrid_seven_mean,cNDCG@20,-0.0019615482733764,-0.0042094278613844,0.0001415916105082,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_ascending,raw_hybrid_seven_mean,Recall@20,-0.0062411140542628,-0.0136984610206394,-0.0008446712560079,reduces,unsupported
wands,bge_base,lexical_ascending,raw_hybrid_seven_mean,Recall@100,0.0037951018257106,-0.0013143746884284,0.0103735090857836,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,lexical_descending,nDCG@10,0.0231365423389347,0.009615248986566,0.0363459486042857,improves,supported
wands,bge_base,lexical_descending,lexical_descending,nDCG@20,0.0248639144094886,0.0129013087876552,0.0365578711007439,improves,supported
wands,bge_base,lexical_descending,lexical_descending,cNDCG@10,0.0053684684986659,-0.0056022391276702,0.0163076773037122,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,lexical_descending,cNDCG@20,0.0045315954980169,-0.0045076012416535,0.0136343438429068,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,lexical_descending,Recall@20,0.0209742311419793,0.0071448922523486,0.0358517377659864,improves,supported
wands,bge_base,lexical_descending,lexical_descending,Recall@100,0.0431878802338533,0.0277478531463942,0.0595937784805979,improves,supported
wands,bge_base,lexical_descending,BM25,nDCG@10,0.0669187897967508,0.0507659166485209,0.0835407032660589,improves,supported
wands,bge_base,lexical_descending,BM25,nDCG@20,0.0724104106719054,0.0581504111970971,0.0869431251567717,improves,supported
wands,bge_base,lexical_descending,BM25,cNDCG@10,0.0424164760594899,0.0300674070945675,0.0551593536030835,improves,supported
wands,bge_base,lexical_descending,BM25,cNDCG@20,0.044150572405966,0.0337677300678104,0.0551777283424579,improves,supported
wands,bge_base,lexical_descending,BM25,Recall@20,0.0365311323054824,0.0188006716024009,0.0551490458556294,improves,supported
wands,bge_base,lexical_descending,BM25,Recall@100,0.0469542057563783,0.0280848799969201,0.0663353170833088,improves,supported
wands,bge_base,lexical_descending,raw_hybrid_seven_mean,nDCG@10,-0.0014493036390389,-0.0049783995245031,0.0020160627954131,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,raw_hybrid_seven_mean,nDCG@20,0.0018208170557529,-0.0008677421792978,0.0044936078306785,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,raw_hybrid_seven_mean,cNDCG@10,1.5858316620723234e-05,-0.0033443509864959,0.0033304026603547,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,raw_hybrid_seven_mean,cNDCG@20,0.0017717404640447,-0.0006776153298003,0.0043659332484906,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,raw_hybrid_seven_mean,Recall@20,0.0029918618134852,-0.0016081424968514,0.0082470757418845,inconclusive; equivalence not established,inconclusive
wands,bge_base,lexical_descending,raw_hybrid_seven_mean,Recall@100,0.0015526648062185,-0.0048460108307055,0.0101593476869312,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,field_priority_type,nDCG@10,0.0205723226305829,0.0077947386355009,0.0328989210929378,improves,supported
wands,bge_base,field_priority_type,field_priority_type,nDCG@20,0.0232113958919383,0.0115596654767318,0.034943775666093,improves,supported
wands,bge_base,field_priority_type,field_priority_type,cNDCG@10,0.0030660395504346,-0.007585109381147,0.0135052611896769,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,field_priority_type,cNDCG@20,0.0023209887202537,-0.0065031190474609,0.0109382214468744,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,field_priority_type,Recall@20,0.0113675462552828,-0.000118443578079,0.0233541606021484,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,field_priority_type,Recall@100,0.0426516032274155,0.0258018416042594,0.0607085928521243,improves,supported
wands,bge_base,field_priority_type,BM25,nDCG@10,0.0681902643574743,0.052205208180488,0.0847869624153343,improves,supported
wands,bge_base,field_priority_type,BM25,nDCG@20,0.0714043914348134,0.0572327044049601,0.0860229179263526,improves,supported
wands,bge_base,field_priority_type,BM25,cNDCG@10,0.0418889795031594,0.0294870636451303,0.0546553869697358,improves,supported
wands,bge_base,field_priority_type,BM25,cNDCG@20,0.0416392709283713,0.0307489034120896,0.053032872395111,improves,supported
wands,bge_base,field_priority_type,BM25,Recall@20,0.0290009445601879,0.0102516586063164,0.0483563076962366,improves,supported
wands,bge_base,field_priority_type,BM25,Recall@100,0.0459743055399752,0.0277054297426577,0.0642324471524393,improves,supported
wands,bge_base,field_priority_type,raw_hybrid_seven_mean,nDCG@10,-0.0001778290783154,-0.003554739272361,0.0033237660669229,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,raw_hybrid_seven_mean,nDCG@20,0.0008147978186609,-0.0018313280496323,0.0035210737527846,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,raw_hybrid_seven_mean,cNDCG@10,-0.0005116382397098,-0.0032800322518947,0.0022432077433919,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,raw_hybrid_seven_mean,cNDCG@20,-0.0007395610135499,-0.002883045713035,0.0013732874649465,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,raw_hybrid_seven_mean,Recall@20,-0.0045383259318092,-0.0117168061349023,0.0003539097986395,inconclusive; equivalence not established,inconclusive
wands,bge_base,field_priority_type,raw_hybrid_seven_mean,Recall@100,0.0005727645898154,-0.003110445388267,0.0039593444295733,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,lexical_ascending,nDCG@10,0.0409221578543924,0.0242355792213016,0.0573096332652744,improves,supported
esci,minilm,lexical_ascending,lexical_ascending,nDCG@20,0.0376914828393602,0.0231200876028823,0.0517521585321241,improves,supported
esci,minilm,lexical_ascending,lexical_ascending,cNDCG@10,0.008478061245282,-0.002231251691053,0.0190444111200548,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,lexical_ascending,cNDCG@20,0.0039180335972394,-0.0037482071674079,0.0113631184086308,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,lexical_ascending,Recall@20,0.0398218664918551,0.0206134395027011,0.0591113491587408,improves,supported
esci,minilm,lexical_ascending,lexical_ascending,Recall@100,0.0309500097568022,0.0189305765915872,0.0440475689349491,improves,supported
esci,minilm,lexical_ascending,BM25,nDCG@10,0.01522420483294,0.0021129277209577,0.0279953085049364,improves,supported
esci,minilm,lexical_ascending,BM25,nDCG@20,0.024135097917565,0.0123492521163498,0.0358454128663735,improves,supported
esci,minilm,lexical_ascending,BM25,cNDCG@10,0.0141355691517745,0.0027097660935236,0.0256895832979278,improves,supported
esci,minilm,lexical_ascending,BM25,cNDCG@20,0.0077616185171881,-0.0007669241747713,0.016193416327079,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,BM25,Recall@20,0.0379367559575947,0.0208624268070721,0.0549552528095782,improves,supported
esci,minilm,lexical_ascending,BM25,Recall@100,0.0667478668671202,0.0515978662478723,0.0827594697706389,improves,supported
esci,minilm,lexical_ascending,raw_hybrid_seven_mean,nDCG@10,-0.0006035462200648,-0.0035107211895232,0.0019026266651169,inconclusive; equivalence not established,inconclusive
