retriever,metric,Dual_minus_repeat,ci_low,ci_high,p
BM25,cNDCG@10,0.0001373897527929123,-0.00027547205886126224,0.0005404759661945728,0.5275472452754725
BM25,Recall@20,0.00018254900084080684,4.1328281396242247e-05,0.00035737046469863203,0.0187981201879812
Dense,cNDCG@10,0.0076075495830986925,0.0018304548340232142,0.013412400134173573,0.0112988701129887
Dense,Recall@20,0.005872297314725346,0.004103813854489511,0.007684642416519611,9.999000099990002e-05
Hybrid,cNDCG@10,0.0058454719450530095,0.0007662479010565767,0.011318582287143077,0.0287971202879712
Hybrid,Recall@20,0.002309394896094827,0.0013963279902293032,0.0032633418583203726,9.999000099990002e-05
