epoch,loss,dev_recall100,training_seconds,generation_seconds,ranking_seconds,invariance_max_l2
1,0.22118720128422692,0.6506518532732412,0.375,1.0,0.06200000015087426,3.528014360654197e-07
2,0.10389806362953814,0.4983552183670567,0.4369999999180436,0.9839999999385327,0.0779999999795109,3.6761005617336195e-07
3,0.06110761216381094,0.45869405108890876,0.4529999999795109,0.9839999999385327,0.10900000017136335,3.7225967730591947e-07
4,0.03330188954501471,0.3000320043744148,0.46899999980814755,1.0629999998491257,0.0779999999795109,3.677552911085513e-07
