epoch,loss,dev_recall100,training_seconds,generation_seconds,ranking_seconds,invariance_max_l2
1,0.20636161070166928,0.6755257090620409,1.125,1.0309999999590218,0.0940000000409782,2.0321324711858324e-07
2,0.11312999180603377,0.49492561947039954,0.40600000019185245,1.077999999979511,0.07899999991059303,2.3532636816980812e-07
3,0.09069356526974794,0.4527218197366248,0.46800000010989606,0.9689999998081475,0.0779999999795109,2.2168667612731952e-07
4,0.059706227819779856,0.4915755175072182,0.4220000000204891,0.9689999998081475,0.2660000000614673,2.63591402926977e-07
