dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size,eligible_queries,highest_relevance_pairs,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,queries_positive_net,queries_negative_net,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass,within_query_balanced_exchange_mass,bootstrap_seed,bootstrap_draws,ci_type,any_membership_change_fraction_ci_low,any_membership_change_fraction_ci_high,exact_zero_net_with_changes_fraction_ci_low,exact_zero_net_with_changes_fraction_ci_high,cancellation_conditional_ci_low,cancellation_conditional_ci_high,conditional_bootstrap_valid_draws,aggregation,reference_recall,reference_recall_ci_low,reference_recall_ci_high,alternative_recall,alternative_recall_ci_low,alternative_recall_ci_high,gain_fraction,gain_fraction_ci_low,gain_fraction_ci_high,loss_fraction,loss_fraction_ci_low,loss_fraction_ci_high,net_delta,net_delta_ci_low,net_delta_ci_high,membership_change_fraction,membership_change_fraction_ci_low,membership_change_fraction_ci_high,retained_total,newly_included_total,newly_omitted_total,absent_in_both_total
wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,379,25470,254,78,0.20580474934036938,0.30708661417322836,379,254,87,89,0.01707935472572304,0.03329438377848691,0.03415870945144608,0.04010886648869765,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6226912928759895,0.7176781002638523,0.1662269129287599,0.24802110817941952,0.2519677409509858,0.3643129880983257,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.29539370479850435,0.2630531489981345,0.3288628475048837,0.037133787970071865,0.029600800487035624,0.04587488544962382,0.05334881702283574,0.04135966145593375,0.06756251249915342,-0.016215029052763875,-0.03230462967481437,-0.0013002692532426445,0.0904826049929076,0.07591532490904894,0.10679599382594443,2086,705,704,21975
wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,379,25470,254,78,0.20580474934036938,0.30708661417322836,379,254,87,89,0.01707935472572304,0.03329438377848691,0.03415870945144608,0.04010886648869765,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6226912928759895,0.7176781002638523,0.1662269129287599,0.24802110817941952,0.2519677409509858,0.3643129880983257,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10957989791912054,0.09437259302477148,0.12772414428930323,0.02767962308598351,0.024032977040806317,0.031918111306875725,0.0276403612092658,0.02412877465004531,0.03168071598313295,3.926187671770711e-05,-0.002141325119267625,0.002317393493222475,0.055319984295249314,0.04840410079233953,0.06320767184477513,2086,705,704,21975
wands,minilm,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,379,25470,242,29,0.07651715039577836,0.11983471074380166,379,242,84,129,0.013729995916689074,0.03515041367888887,0.027459991833378147,0.043093747368347764,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5910290237467019,0.6860158311345647,0.05013192612137203,0.10290237467018469,0.08016877637130802,0.16228351327035534,10000,query_macro,0.5785295101514185,0.5435490722417284,0.6123550825194396,0.5571090923892187,0.5222352800486352,0.5916649233949058,0.03527686960086295,0.03050970290620209,0.04030813255374151,0.05669728736306276,0.04650453929960073,0.06824427579169677,-0.021420417762199797,-0.033659879808586673,-0.010208014076517339,0.0919741569639257,0.08023879940471237,0.10447813695658961,7614,1231,1513,15112
wands,minilm,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,379,25470,242,29,0.07651715039577836,0.11983471074380166,379,242,84,129,0.013729995916689074,0.03515041367888887,0.027459991833378147,0.043093747368347764,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5910290237467019,0.6860158311345647,0.05013192612137203,0.10290237467018469,0.08016877637130802,0.16228351327035534,10000,pair_micro,0.3583431488025128,0.31636439707496616,0.405800629162043,0.34727129956811936,0.3065611271237032,0.3935384817527407,0.04833137023949745,0.04420463643990611,0.05284379778647087,0.05940321947389085,0.05399951840807579,0.06512054793911347,-0.011071849234393404,-0.01636314269209785,-0.005893341576784582,0.1077345897133883,0.09959017654083066,0.1164491237497644,7614,1231,1513,15112
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,205,65,0.21103896103896103,0.3170731707317073,308,205,63,77,0.017213336571701193,0.03807150874065291,0.034426673143402385,0.03994827528507513,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6103896103896104,0.7175324675324676,0.16558441558441558,0.2564935064935065,0.25471698113207547,0.3807112420248684,10000,query_macro,0.30808505676265363,0.2710145128159665,0.34671406905840585,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.03718747421423876,0.028562876850445274,0.04797315723184415,0.05804564638319048,0.043159237008997146,0.07475731302338329,-0.020858172168951725,-0.04026575872963174,-0.002213816642597201,0.09523312059742924,0.07787861141562832,0.11468055463400381,1693,558,580,18468
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,205,65,0.21103896103896103,0.3170731707317073,308,205,63,77,0.017213336571701193,0.03807150874065291,0.034426673143402385,0.03994827528507513,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6103896103896104,0.7175324675324676,0.16558441558441558,0.2564935064935065,0.25471698113207547,0.3807112420248684,10000,pair_micro,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.026198413071036198,0.02236987985813033,0.030979171691585036,0.027231325414338703,0.023378268047431656,0.0318686022588086,-0.0010329123433025025,-0.00331131828334386,0.0011866781956819375,0.0534297384853749,0.04598349652647853,0.06245141305192537,1693,558,580,18468
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,193,23,0.07467532467532467,0.11917098445595854,308,193,74,96,0.014474358484368632,0.032816976958816774,0.028948716968737263,0.04141815891972273,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6785714285714286,0.048701298701298704,0.1038961038961039,0.07575757575757576,0.1658291457286432,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5604906636180105,0.52178420060479,0.5995178037333511,0.03518343794422999,0.029712535945044118,0.04089835260532063,0.053526056418678136,0.042747097195866016,0.0659115207799617,-0.018342618474448145,-0.03168227862091149,-0.006433612913751211,0.08870949436290813,0.07608800454732621,0.10252076796249257,6245,1007,1228,12819
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,193,23,0.07467532467532467,0.11917098445595854,308,193,74,96,0.014474358484368632,0.032816976958816774,0.028948716968737263,0.04141815891972273,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6785714285714286,0.048701298701298704,0.1038961038961039,0.07575757575757576,0.1658291457286432,10000,pair_micro,0.3508615427954364,0.3036609701883993,0.40645022360044597,0.34048546880135216,0.2944209288575042,0.3949164573681819,0.04727921498661909,0.042853180459453744,0.05195172253693668,0.057655288980703316,0.05182429963430925,0.0644288058646318,-0.01037607399408423,-0.016401757321286643,-0.00485105471685028,0.10493450396732242,0.0961749808927298,0.11473595039739747,6245,1007,1228,12819
wands,minilm,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,379,25470,250,73,0.19261213720316622,0.292,379,250,82,95,0.01360626709001058,0.025386666223976496,0.02721253418002116,0.04121762769190506,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6121372031662269,0.7071240105540897,0.15303430079155672,0.23218997361477572,0.23673469387755103,0.34901960784313724,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.2998283347173023,0.2667622820417787,0.33417779793465235,0.03421508093596311,0.02818127400787634,0.04116629223144393,0.04599548006992903,0.03680407648590538,0.05670636335443465,-0.011780399133965919,-0.023717746153760037,-0.0007739864504827887,0.08021056100589213,0.06833290018279255,0.09290635871642826,2048,728,742,21952
wands,minilm,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,379,25470,250,73,0.19261213720316622,0.292,379,250,82,95,0.01360626709001058,0.025386666223976496,0.02721253418002116,0.04121762769190506,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6121372031662269,0.7071240105540897,0.15303430079155672,0.23218997361477572,0.23673469387755103,0.34901960784313724,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10899096976835493,0.09413057910855369,0.1270614407534436,0.028582646250490774,0.025049611181906982,0.03264107618854955,0.029132312524538673,0.02548332115946247,0.03330715116333033,-0.0005496662740478995,-0.002561265837187089,0.0014662366985693596,0.05771495877502945,0.05078117365725606,0.06563833758737729,2048,728,742,21952
