dataset,retriever,model,revision,highest_pairs,rank_range_median,VI@10_micro,VI@10_query_macro,VI@10_macro_ci_low,VI@10_macro_ci_high,VI@20_micro,VI@20_query_macro,VI@20_macro_ci_low,VI@20_macro_ci_high,VI@50_micro,VI@50_query_macro,VI@50_macro_ci_low,VI@50_macro_ci_high,cNDCG@10,cNDCG@20,HighestRecall@20
wands,marqo_ecommerce_b,Marqo/marqo-ecommerce-embeddings-B,856b7151a2d1698bf940bc1b3813021c47991481,25470,149.0,0.0429132312524538,0.0758706826126702,0.0612012955480136,0.0916364751273422,0.0606988614055751,0.0846309898703165,0.0698822146303861,0.1008395999650224,0.0900667451904201,0.1004329232097152,0.0862314214101923,0.1160090902562673,0.7561097436151003,0.7705180132391642,0.2251608516972142
esci,marqo_ecommerce_b,Marqo/marqo-ecommerce-embeddings-B,856b7151a2d1698bf940bc1b3813021c47991481,4434,10.0,0.0866035182679296,0.0846530740330397,0.0709939372061804,0.0991263913499803,0.072169598556608,0.0617879124125731,0.0516823400870834,0.0730429051836826,0.0523229589535408,0.0471266530086888,0.0386704444532909,0.0561952678037928,0.6785636851553171,0.7655385742779081,0.4706160732071743
