dataset,method,candidate_K,query_id,n_highest,Recall@20,returned_condensed_NDCG@10,unique_candidates
esci,Original,50,19268,21,0.38095238095238093,0.6452281904391156,50
esci,Original,50,19369,11,0.6363636363636364,0.7451487888604602,50
esci,Original,50,19372,15,0.9333333333333333,1.0,50
esci,Original,50,19380,2,0.5,0.6131471927654584,50
esci,Original,50,19619,2,1.0,0.9197207891481876,50
esci,Original,50,19694,7,1.0,0.7039890038878336,50
esci,Original,50,19953,3,1.0,0.6772591130899146,50
esci,Original,50,20037,32,0.46875,0.8177650911347445,50
esci,Original,50,20185,4,0.75,0.6423245204072128,50
esci,Original,50,20307,5,0.8,0.830419897363192,50
esci,Original,50,20315,10,1.0,0.8436999957868074,50
esci,Original,50,20385,2,1.0,1.0,50
esci,Original,50,20500,5,1.0,0.21239620748405597,50
esci,Original,50,20523,3,0.3333333333333333,0.23463936301137822,50
esci,Original,50,20788,5,1.0,0.9603411057130445,50
esci,Original,50,21481,17,0.6470588235294118,0.9363792118010483,50
esci,Original,50,21645,13,0.9230769230769231,0.795648227087262,50
esci,Original,50,22173,9,1.0,0.6856047648682206,50
esci,Original,50,22211,3,1.0,0.6097606177811876,50
esci,Original,50,22441,7,1.0,0.7474357915808134,50
esci,Original,50,22639,9,0.5555555555555556,0.6925516503787732,50
esci,Original,50,23148,4,1.0,0.7352204765961387,50
esci,Original,50,23260,15,0.06666666666666667,0.2339780106854357,50
esci,Original,50,23744,1,0.0,0.12042105866401148,50
esci,Original,50,24082,5,0.8,0.599705937273563,50
esci,Original,50,24402,6,0.6666666666666666,0.39502230332085453,50
esci,Original,50,24504,4,1.0,0.8595518966801226,50
esci,Original,50,24668,8,0.625,0.7291586285322756,50
esci,Original,50,24697,2,1.0,0.9643148140512959,50
esci,Original,50,24831,19,0.7368421052631579,0.8000380808220816,50
esci,Original,50,25132,12,0.3333333333333333,0.5541432109622959,50
esci,Original,50,25426,5,1.0,0.9490599786992086,50
esci,Original,50,25497,1,1.0,0.5015658721533237,50
esci,Original,50,25516,5,1.0,0.953251479225142,50
esci,Original,50,25591,3,1.0,0.8810972025975865,50
esci,Original,50,26321,9,1.0,0.8345717218284643,50
esci,Original,50,26642,10,0.7,0.8078635821685248,50
esci,Original,50,26872,5,1.0,0.6646025499648499,50
esci,Original,50,27927,8,1.0,0.8663287511909937,50
esci,Original,50,28198,15,1.0,1.0,50
esci,Original,50,28637,4,0.5,0.2691828628414762,50
esci,Original,50,29049,4,1.0,0.7606395682357036,50
esci,Original,50,29123,11,1.0,0.742677850068793,50
esci,Original,50,29488,7,1.0,0.9893144529705764,50
esci,Original,50,29596,12,0.75,0.8630152897016883,50
esci,Original,50,29729,9,0.7777777777777778,0.8383261242096235,50
esci,Original,50,29868,10,0.7,0.791726719367984,50
esci,Original,50,29928,5,0.8,0.847378080795066,50
esci,Original,50,29941,2,1.0,0.4753822688277479,50
esci,Original,50,29945,5,1.0,0.8546130868102396,50
esci,Original,50,29952,4,0.75,0.6137107807412387,50
esci,Original,50,30020,1,1.0,0.7383583406968321,50
esci,Original,50,30318,12,1.0,0.9294415579191924,50
esci,Original,50,31573,2,1.0,0.6985663674726268,50
esci,Original,50,31659,7,1.0,0.9485860702973006,50
esci,Original,50,31724,6,1.0,0.8962339563021714,50
esci,Original,50,31889,2,0.5,0.6072736399106358,50
esci,Original,50,32142,10,1.0,0.8661124847434848,50
esci,Original,50,32164,13,0.0,0.0,50
esci,Original,50,32311,11,0.2727272727272727,0.46900009332067494,50
esci,Original,50,32350,9,0.2222222222222222,0.3807557956172758,50
esci,Original,50,32351,4,1.0,0.9528961266785811,50
esci,Original,50,32430,19,0.631578947368421,0.8703516819116243,50
esci,Original,50,32612,2,0.5,0.27674755663459705,50
esci,Original,50,32812,4,1.0,0.9362215626452036,50
esci,Original,50,32917,7,0.14285714285714285,0.23137181807727553,50
esci,Original,50,33004,10,0.8,0.8661124847434848,50
esci,Original,50,33735,20,0.65,0.8643851368046714,50
esci,Original,50,34128,26,0.7307692307692307,0.9009587051658641,50
esci,Original,50,34229,6,1.0,0.8712345239874681,50
esci,Original,50,34443,7,1.0,0.8753272094070745,50
esci,Original,50,34775,3,1.0,0.9240247746168361,50
esci,Original,50,34817,10,1.0,0.7781045000971726,50
esci,Original,50,35117,8,1.0,0.9967622486737456,50
esci,Original,50,35242,2,0.0,0.1332648019952541,50
esci,Original,50,35755,15,1.0,0.9146904720674044,50
esci,Original,50,36669,2,0.5,0.6131471927654584,50
esci,Original,50,36678,2,0.0,0.0,50
esci,Original,50,36753,12,0.3333333333333333,0.5388856921828066,50
esci,Original,50,36912,1,1.0,0.42954213291238613,50
esci,Original,50,36960,2,1.0,0.8227386463557405,50
esci,Original,50,37451,1,1.0,0.6677387466864252,50
esci,Original,50,37466,24,0.4583333333333333,0.5759129830479104,50
esci,Original,50,37498,2,1.0,0.845535892286146,50
esci,Original,50,37670,13,0.38461538461538464,0.6096900370342591,50
esci,Original,50,37789,1,1.0,1.0,50
esci,Original,50,38679,2,1.0,0.6114282519932192,50
esci,Original,50,39022,3,1.0,0.9945220769854753,50
esci,Original,50,39107,12,0.9166666666666666,0.92663607790064,50
esci,Original,50,39157,2,0.0,0.03802583107300096,50
esci,Original,50,39263,2,0.5,0.23637376781572322,50
esci,Original,50,40165,1,1.0,0.527567576335355,50
esci,Original,50,40292,7,1.0,0.995686905982259,50
esci,Original,50,40356,1,1.0,1.0,50
esci,Original,50,40483,29,0.5862068965517241,1.0,50
esci,Original,50,40528,3,1.0,0.5885661065447957,50
esci,Original,50,40573,23,0.5652173913043478,0.7411902110103873,50
esci,Original,50,40615,1,1.0,0.5569849955819004,50
esci,Original,50,40834,7,1.0,0.35763320407476046,50
esci,Original,50,41423,24,0.4166666666666667,0.5723088801109559,50
esci,Original,50,41492,13,0.7692307692307693,0.8096947487970363,50
esci,Original,50,41502,11,0.9090909090909091,0.8669534581760927,50
esci,Original,50,41795,11,1.0,0.7529068996617514,50
esci,Original,50,42118,3,1.0,0.9294274389393498,50
esci,Original,50,42332,13,1.0,0.775982505679665,50
esci,Original,50,42405,1,1.0,0.5669087308692541,50
esci,Original,50,42445,6,1.0,0.9495662644168644,50
esci,Original,50,42964,12,0.8333333333333334,0.7134842762825241,50
esci,Original,50,42968,4,1.0,0.9076865198218551,50
esci,Original,50,43579,11,0.36363636363636365,0.45868881256144195,50
esci,Original,50,43948,2,0.5,0.3493885443151824,50
esci,Original,50,43961,1,1.0,0.5925498905320976,50
esci,Original,50,43983,4,1.0,0.758307832557512,50
esci,Original,50,44424,4,1.0,0.5813272950661174,50
esci,Original,50,44706,3,1.0,0.8103020898263308,50
esci,Original,50,44816,12,0.0,0.0,50
esci,Original,50,44845,7,0.7142857142857143,0.648351110805566,50
esci,Original,50,44960,12,1.0,0.7731415537059997,50
esci,Original,50,45294,1,1.0,0.2890648263178879,50
esci,Original,50,45464,16,0.75,0.9233711941225413,50
esci,Original,50,45588,4,0.75,0.6041786345403591,50
esci,Original,50,45713,12,0.08333333333333333,0.2200917662980802,50
esci,Original,50,45745,10,1.0,0.7545968598794698,50
esci,Original,50,45843,3,0.3333333333333333,0.45472910717353454,50
esci,Original,50,45928,0,,0.8006937664098821,50
esci,Original,50,45990,9,1.0,0.7086036240496157,50
esci,Original,50,46008,8,1.0,0.5801166225999684,50
esci,Original,50,46089,7,0.7142857142857143,0.8177004487976633,50
esci,Original,50,46097,6,1.0,0.7180295294504765,50
esci,Original,50,46149,15,1.0,0.9273697171216337,50
esci,Original,50,46177,9,0.7777777777777778,0.6173309184975168,50
esci,Original,50,46471,10,1.0,0.8170849596225693,50
esci,Original,50,46910,7,1.0,0.8200985126166128,50
esci,Original,50,47106,9,0.7777777777777778,0.6621187383957191,50
esci,Original,50,47213,8,0.75,0.7767989551636572,50
esci,Original,50,47217,15,1.0,0.9146904720674044,50
esci,Original,50,47526,24,0.5,1.0,50
esci,Original,50,47631,28,0.21428571428571427,0.7273298443105221,50
esci,Original,50,47857,26,0.6538461538461539,0.9375119002569006,50
esci,Original,50,47892,9,0.0,0.0,50
esci,Original,50,48397,12,0.8333333333333334,0.8627569126021613,50
esci,Original,50,48914,22,0.6363636363636364,0.4422429376536609,50
esci,Original,50,48929,19,0.3157894736842105,0.727329844310522,50
esci,Original,50,49077,11,0.45454545454545453,0.6489315753318466,50
esci,Original,50,49201,10,0.6,0.734666236520458,50
esci,Original,50,49481,1,1.0,0.06011027560557593,50
esci,Original,50,49972,6,1.0,0.8724628022970763,50
esci,Original,50,50118,13,0.9230769230769231,0.9375119002569006,50
esci,Original,50,50311,18,0.8333333333333334,0.7948555644900177,50
esci,Original,50,50356,5,1.0,0.6148900687577193,50
esci,Original,50,50494,7,0.8571428571428571,0.901374479435942,50
esci,Original,50,51056,1,1.0,0.5105354996674308,50
esci,Original,50,51227,13,1.0,0.9233711941225413,50
esci,Original,50,51454,11,1.0,0.7967610662472993,50
esci,Original,50,52230,13,0.5384615384615384,0.590255221140974,50
esci,Original,50,52255,9,0.3333333333333333,0.40607084833488344,50
esci,Original,50,52348,1,1.0,0.5925498905320976,50
esci,Original,50,52482,1,1.0,0.8983975482184146,50
esci,Original,50,52830,3,0.6666666666666666,0.7596795333965304,50
esci,Original,50,53042,8,1.0,0.9136879824045631,50
esci,Original,50,53114,2,1.0,0.8522945242007884,50
esci,Original,50,53284,6,1.0,0.3257192188287456,50
esci,Original,50,53328,13,1.0,0.8698127568102422,50
esci,Original,50,53451,3,1.0,0.15937185911299065,50
esci,Original,50,54039,13,1.0,0.808996270624377,50
esci,Original,50,54044,2,1.0,0.9219180243454468,50
esci,Original,50,54558,7,1.0,0.700618633671834,50
esci,Original,50,54634,5,1.0,0.9498222229578206,50
esci,Original,50,54889,1,1.0,0.5396880800129658,50
esci,Original,50,55280,5,1.0,0.9394404423024433,50
esci,Original,50,55365,3,1.0,0.9992168579591335,50
esci,Original,50,55531,5,0.6,0.5962860556272481,50
esci,Original,50,55677,12,0.6666666666666666,0.6551466258125147,50
esci,Original,50,56281,5,1.0,0.9976668094645764,50
esci,Original,50,56758,3,1.0,0.48098641535927616,50
esci,Original,50,57100,14,1.0,0.9339724701105759,50
esci,Original,50,57276,24,0.5416666666666666,0.7401644387218663,50
esci,Original,50,57921,29,0.5862068965517241,0.9339724701105759,50
esci,Original,50,58044,3,1.0,0.8671213269673916,50
esci,Original,50,58233,13,0.07692307692307693,0.2200917662980802,50
esci,Original,50,58514,11,1.0,0.783309128675243,50
esci,Original,50,58597,15,1.0,0.862526180565181,50
esci,Original,50,59963,11,0.5454545454545454,0.7416093587141357,50
esci,Original,50,60628,4,1.0,0.8226534207311043,50
esci,Original,50,61329,14,1.0,0.9233711941225413,50
esci,Original,50,61522,9,0.8888888888888888,0.5917935853108561,50
esci,Original,50,61574,10,1.0,0.7390203713558094,50
esci,Original,50,61598,3,1.0,0.8870931620113257,50
esci,Original,50,61723,2,1.0,1.0,50
esci,Original,50,61798,11,1.0,0.8389574121760603,50
esci,Original,50,61830,3,1.0,0.9736989758809539,50
esci,Original,50,61961,8,0.75,0.660311470283556,50
esci,Original,50,62478,8,1.0,0.882892613843742,50
esci,Original,50,62513,13,0.6923076923076923,0.8767137607315195,50
esci,Original,50,62558,3,1.0,0.8898308328470839,50
esci,Original,50,62858,10,0.8,0.8634140280297683,50
esci,Original,50,62937,2,1.0,0.48247555939075504,50
esci,Original,50,62954,34,0.47058823529411764,1.0,50
esci,Original,50,63291,5,1.0,0.8752854726973748,50
esci,Original,50,63701,3,1.0,0.9736989758809539,50
esci,Original,50,63917,28,0.5714285714285714,1.0,50
esci,Original,50,63927,7,0.7142857142857143,0.8059662822621886,50
esci,Original,50,64191,1,1.0,0.34438572681705887,50
esci,Original,50,64212,8,0.75,0.5767413513954027,50
esci,Original,50,64296,2,0.5,0.23637376781572322,50
esci,Original,50,64880,2,1.0,0.7658923597070731,50
esci,Original,50,65197,7,1.0,0.5420913389044724,50
esci,Original,50,65347,4,0.0,0.09281849457518361,50
esci,Original,50,65397,13,0.38461538461538464,0.6580374306429991,50
esci,Original,50,65683,21,0.6190476190476191,0.9363792118010483,50
esci,Original,50,65798,6,1.0,0.7342821514859478,50
esci,Original,50,66004,14,0.9285714285714286,0.9375119002569006,50
esci,Original,50,66062,1,0.0,0.33547749337285077,50
esci,Original,50,66396,23,0.6521739130434783,0.6228724086875175,50
