dataset,method,candidate_K,query_id,n_highest,Recall@20,returned_condensed_NDCG@10,unique_candidates
wands,Original,50,102,57,0.3508771929824561,1.0,50
wands,Original,50,103,230,0.07391304347826087,0.901447006056365,50
wands,Original,50,104,12,0.5,0.8039369346935542,50
wands,Original,50,105,62,0.2903225806451613,1.0,50
wands,Original,50,106,36,0.5277777777777778,0.9537125187088151,50
wands,Original,50,107,43,0.046511627906976744,0.5242306598349795,50
wands,Original,50,108,81,0.24691358024691357,1.0,50
wands,Original,50,109,39,0.5128205128205128,1.0,50
wands,Original,50,110,0,,1.0,50
wands,Original,50,111,69,0.2898550724637681,1.0,50
wands,Original,50,112,266,0.07518796992481203,1.0,50
wands,Original,50,113,75,0.25333333333333335,1.0,50
wands,Original,50,114,3,0.3333333333333333,0.7431286862216819,50
wands,Original,50,115,202,0.09900990099009901,1.0,50
wands,Original,50,116,0,,1.0,50
wands,Original,50,117,128,0.0703125,0.739381743866519,50
wands,Original,50,118,94,0.20212765957446807,1.0,50
wands,Original,50,119,158,0.12025316455696203,1.0,50
wands,Original,50,120,33,0.3333333333333333,0.6670699126546055,50
wands,Original,50,121,726,0.024793388429752067,0.8205228949141826,50
wands,Original,50,122,375,0.048,1.0,50
wands,Original,50,123,187,0.0481283422459893,0.6712401514482297,50
wands,Original,50,124,324,0.012345679012345678,0.4297683282887096,50
wands,Original,50,125,1,0.0,0.6943559465628248,50
wands,Original,50,126,241,0.08298755186721991,1.0,50
wands,Original,50,127,159,0.12578616352201258,1.0,50
wands,Original,50,128,113,0.17699115044247787,1.0,50
wands,Original,50,129,28,0.7142857142857143,1.0,50
wands,Original,50,130,187,0.0106951871657754,0.5726361401144231,50
wands,Original,50,131,173,0.11560693641618497,1.0,50
wands,Original,50,132,42,0.11904761904761904,0.44807267519844163,50
wands,Original,50,133,170,0.11764705882352941,1.0,50
wands,Original,50,134,3,0.0,0.5159958223394444,50
wands,Original,50,135,10,0.5,0.41573661672937684,50
wands,Original,50,136,0,,0.5637884576902257,50
wands,Original,50,137,80,0.1,0.5559026721867444,50
wands,Original,50,138,142,0.14084507042253522,1.0,50
wands,Original,50,139,0,,1.0,50
wands,Original,50,140,3,0.3333333333333333,0.6295622542805632,50
wands,Original,50,141,3,0.6666666666666666,0.5051956297670653,50
wands,Original,50,142,5,0.2,0.44113846978668436,50
wands,Original,50,143,3,0.0,0.4801696018801446,50
wands,Original,50,144,116,0.1724137931034483,1.0,50
wands,Original,50,145,32,0.09375,0.28405683636151574,50
wands,Original,50,146,4,0.0,0.470018260101859,50
wands,Original,50,147,12,0.9166666666666666,0.9363792118010482,50
wands,Original,50,148,194,0.10309278350515463,1.0,50
wands,Original,50,149,155,0.12903225806451613,1.0,50
wands,Original,50,150,21,0.8571428571428571,1.0,50
wands,Original,50,151,630,0.01746031746031746,0.762815192207169,50
wands,Original,50,152,46,0.0,0.3333333333333333,50
wands,Original,50,153,145,0.11724137931034483,0.7799082337019199,50
wands,Original,50,155,8,0.25,0.3136872693350489,50
wands,Original,50,156,19,0.21052631578947367,0.5338361800764843,50
wands,Original,50,157,51,0.1568627450980392,0.7032006836466745,50
wands,Original,50,158,44,0.45454545454545453,1.0,50
wands,Original,50,159,93,0.21505376344086022,1.0,50
wands,Original,50,160,226,0.084070796460177,1.0,50
wands,Original,50,161,38,0.02631578947368421,0.22969728653958502,50
wands,Original,50,162,23,0.08695652173913043,0.5043580576082262,50
wands,Original,50,163,47,0.3829787234042553,0.9477344873475498,50
wands,Original,50,164,128,0.046875,0.6688828551968977,50
wands,Original,50,165,69,0.2463768115942029,1.0,50
wands,Original,50,166,26,0.6153846153846154,0.9074250374176304,50
wands,Original,50,167,87,0.22988505747126436,1.0,50
wands,Original,50,168,0,,1.0,50
wands,Original,50,169,27,0.07407407407407407,0.38357984219609803,50
wands,Original,50,170,99,0.20202020202020202,1.0,50
wands,Original,50,171,0,,1.0,50
wands,Original,50,172,42,0.47619047619047616,1.0,50
wands,Original,50,173,4,0.0,0.33393716891222036,50
wands,Original,50,174,0,,0.0,50
wands,Original,50,175,70,0.2857142857142857,1.0,50
wands,Original,50,176,23,0.7391304347826086,1.0,50
wands,Original,50,177,16,0.375,0.692287543504968,50
wands,Original,50,178,24,0.16666666666666666,0.3333333333333333,50
wands,Original,50,179,0,,0.0,50
wands,Original,50,180,72,0.20833333333333334,1.0,50
wands,Original,50,181,104,0.19230769230769232,1.0,50
wands,Original,50,182,58,0.3448275862068966,1.0,50
wands,Original,50,183,6,0.5,0.7536083458772792,50
wands,Original,50,184,59,0.22033898305084745,0.8192743526846801,50
wands,Original,50,185,34,0.5882352941176471,1.0,50
wands,Original,50,186,4,0.0,0.470018260101859,50
wands,Original,50,188,8,0.375,0.5462611999168286,50
wands,Original,50,189,31,0.1935483870967742,0.7186033597527862,50
wands,Original,50,190,5,0.0,0.43518692560571726,50
wands,Original,50,191,0,,1.0,50
wands,Original,50,193,0,,1.0,50
wands,Original,50,194,0,,0.7257345305446319,50
wands,Original,50,195,3,1.0,0.8240350447649629,50
wands,Original,50,196,0,,1.0,50
wands,Original,50,197,23,0.5217391304347826,1.0,50
wands,Original,50,198,10,0.2,0.2991486554410727,50
wands,Original,50,199,0,,1.0,50
wands,Original,50,200,3,1.0,0.5159958223394444,50
wands,Original,50,201,0,,1.0,50
wands,Original,50,202,45,0.17777777777777778,0.8922097294981223,50
wands,Original,50,203,5,1.0,0.6086578597059942,50
wands,Original,50,204,7,0.2857142857142857,0.6138954886212092,50
wands,Original,50,205,12,0.8333333333333334,0.9053206285482487,50
wands,Original,50,206,2,1.0,1.0,50
wands,Original,50,207,0,,0.35895421017163476,50
wands,Original,50,208,0,,1.0,50
wands,Original,50,209,0,,0.8572048559638626,50
wands,Original,50,210,9,0.8888888888888888,0.8050125615212631,50
wands,Original,50,211,0,,1.0,50
wands,Original,50,212,2,1.0,0.9664515752024124,50
wands,Original,50,213,1,1.0,0.8471779732814125,50
wands,Original,50,214,0,,1.0,50
wands,Original,50,215,30,0.16666666666666666,0.6624526907116111,50
wands,Original,50,216,8,0.5,0.3649302102017378,50
wands,Original,50,218,0,,0.8006937664098821,50
wands,Original,50,219,0,,1.0,50
wands,Original,50,220,52,0.3269230769230769,0.901447006056365,50
wands,Original,50,221,73,0.136986301369863,0.8212157069470859,50
wands,Original,50,222,31,0.06451612903225806,0.3589542101716347,50
wands,Original,50,223,1,1.0,0.6971139216378668,50
wands,Original,50,224,22,0.36363636363636365,0.7932191042356415,50
wands,Original,50,225,2,1.0,0.7408333119902658,50
wands,Original,50,226,197,0.06598984771573604,0.7179804164693728,50
wands,Original,50,227,176,0.11363636363636363,1.0,50
wands,Original,50,228,178,0.10112359550561797,1.0,50
wands,Original,50,229,133,0.15037593984962405,1.0,50
wands,Original,50,230,228,0.08333333333333333,1.0,50
wands,Original,50,231,307,0.06514657980456026,1.0,50
wands,Original,50,232,423,0.04018912529550828,0.8108582970019788,50
wands,Original,50,233,81,0.037037037037037035,0.4096287685507568,50
wands,Original,50,234,107,0.18691588785046728,1.0,50
wands,Original,50,235,133,0.15037593984962405,1.0,50
wands,Original,50,236,29,0.5517241379310345,0.6702402296247993,50
wands,Original,50,237,4,0.25,0.4835625698357149,50
wands,Original,50,238,54,0.35185185185185186,1.0,50
wands,Original,50,239,146,0.1232876712328767,1.0,50
wands,Original,50,240,33,0.6060606060606061,1.0,50
wands,Original,50,241,148,0.08783783783783784,1.0,50
wands,Original,50,242,175,0.022857142857142857,0.5637884576902256,50
wands,Original,50,243,135,0.13333333333333333,1.0,50
wands,Original,50,244,9,0.0,0.12495106000648287,50
wands,Original,50,245,57,0.3508771929824561,1.0,50
wands,Original,50,246,12,0.5,0.6719958531284244,50
wands,Original,50,247,40,0.35,0.9575861412006988,50
wands,Original,50,248,39,0.5128205128205128,1.0,50
wands,Original,50,249,124,0.14516129032258066,1.0,50
wands,Original,50,250,96,0.20833333333333334,1.0,50
wands,Original,50,251,90,0.2111111111111111,0.9575861412006988,50
wands,Original,50,252,100,0.06,0.727329844310522,50
wands,Original,50,253,5,0.2,0.6267490438585045,50
wands,Original,50,254,131,0.03816793893129771,0.5740601031378222,50
wands,Original,50,255,107,0.18691588785046728,1.0,50
wands,Original,50,256,68,0.17647058823529413,0.9095430364058891,50
wands,Original,50,257,132,0.09848484848484848,0.6834732387465436,50
wands,Original,50,258,58,0.1896551724137931,0.9477344873475498,50
wands,Original,50,259,0,,1.0,50
wands,Original,50,260,26,0.7307692307692307,1.0,50
wands,Original,50,261,125,0.12,0.8340611153182703,50
wands,Original,50,262,87,0.22988505747126436,1.0,50
wands,Original,50,263,75,0.18666666666666668,0.6345639573469701,50
wands,Original,50,264,15,0.9333333333333333,1.0,50
wands,Original,50,265,0,,0.8669479898642711,50
wands,Original,50,266,1,0.0,0.6943559465628248,50
wands,Original,50,267,2,1.0,1.0,50
wands,Original,50,268,1,1.0,1.0,50
wands,Original,50,269,0,,1.0,50
wands,Original,50,270,42,0.47619047619047616,1.0,50
wands,Original,50,271,1,0.0,0.6943559465628248,50
wands,Original,50,272,0,,0.8318477135310892,50
wands,Original,50,273,4,0.5,0.7506097941789054,50
wands,Original,50,274,1,1.0,1.0,50
wands,Original,50,275,13,0.38461538461538464,0.5266515767734745,50
wands,Original,50,276,0,,1.0,50
wands,Original,50,277,44,0.09090909090909091,0.4288398090337664,50
wands,Original,50,278,7,0.14285714285714285,0.4911705278921376,50
wands,Original,50,279,1,1.0,1.0,50
wands,Original,50,280,0,,0.8701249883466594,50
wands,Original,50,281,1,1.0,1.0,50
wands,Original,50,282,1,1.0,1.0,50
wands,Original,50,283,1,1.0,0.7515502259034418,50
wands,Original,50,284,0,,1.0,50
wands,Original,50,285,7,0.0,0.38441023776109734,50
wands,Original,50,286,0,,1.0,50
wands,Original,50,287,45,0.3111111111111111,0.5718755155540661,50
wands,Original,50,288,0,,1.0,50
wands,Original,50,289,27,0.5925925925925926,1.0,50
wands,Original,50,290,0,,1.0,50
wands,Original,50,291,15,0.06666666666666667,0.37574719213263447,50
wands,Original,50,292,12,0.0,0.3049522941194597,50
wands,Original,50,293,13,0.15384615384615385,0.3333333333333333,50
wands,Original,50,294,0,,1.0,50
wands,Original,50,295,6,0.3333333333333333,0.5652943052094844,50
wands,Original,50,296,1,1.0,1.0,50
wands,Original,50,297,8,0.875,0.7152655490117023,50
wands,Original,50,298,9,0.5555555555555556,0.6123748926165524,50
wands,Original,50,300,2,0.5,0.8383354523103075,50
wands,Original,50,301,2,0.0,0.5821032065260975,50
wands,Original,50,302,59,0.22033898305084745,0.6901695445167092,50
wands,Original,50,303,8,1.0,1.0,50
wands,Original,50,304,0,,0.0,50
wands,Original,50,305,193,0.09844559585492228,1.0,50
wands,Original,50,306,2,1.0,1.0,50
wands,Original,50,307,6,1.0,0.8435012980203699,50
wands,Original,50,308,2,0.5,0.7437677542157901,50
wands,Original,50,309,0,,0.857980942822373,50
wands,Original,50,310,4,1.0,0.9688593051675682,50
wands,Original,50,311,4,0.5,0.7040011776859079,50
wands,Original,50,312,10,0.3,0.3900954117610807,50
wands,Original,50,313,3,1.0,0.9641737795407002,50
wands,Original,50,314,11,0.0,0.3333333333333333,50
wands,Original,50,315,4,1.0,0.9765904909689566,50
wands,Original,50,316,1,1.0,1.0,50
wands,Original,50,317,2,1.0,1.0,50
wands,Original,50,318,1,1.0,0.6943559465628248,50
wands,Original,50,319,1,1.0,1.0,50
wands,Original,50,320,1,1.0,1.0,50
wands,Original,50,321,1,1.0,1.0,50
wands,Original,50,322,0,,1.0,50
wands,Original,50,323,1,1.0,1.0,50
wands,Original,50,324,1,1.0,1.0,50
wands,Original,50,325,46,0.021739130434782608,0.18908262532732215,50
wands,Original,50,326,1,1.0,1.0,50
wands,Original,50,327,8,0.25,0.434112485669856,50
wands,Original,50,328,1,1.0,1.0,50
wands,Original,50,329,2,1.0,1.0,50
wands,Original,50,330,1,1.0,0.4584660801557625,50
wands,Original,50,331,52,0.038461538461538464,0.48006117753205346,50
wands,Original,50,332,1,1.0,1.0,50
wands,Original,50,333,21,0.9047619047619048,1.0,50
wands,Original,50,334,6,1.0,0.9188049428953295,50
wands,Original,50,335,42,0.47619047619047616,1.0,50
wands,Original,50,336,1,1.0,0.7786435418338317,50
wands,Original,50,337,39,0.28205128205128205,0.7685761836629531,50
wands,Original,50,338,1,1.0,1.0,50
wands,Original,50,339,6,1.0,0.9188049428953295,50
wands,Original,50,340,3,0.6666666666666666,0.8864335680588812,50
wands,Original,50,341,22,0.6818181818181818,1.0,50
wands,Original,50,342,2,1.0,1.0,50
wands,Original,50,343,0,,0.6489315753318466,50
wands,Original,50,344,0,,0.7273298443105221,50
wands,Original,50,345,0,,1.0,50
wands,Original,50,346,19,0.9473684210526315,1.0,50
wands,Original,50,347,0,,1.0,50
wands,Original,50,348,0,,0.0,50
wands,Original,50,349,5,0.6,0.8433923430477553,50
wands,Original,50,351,0,,1.0,50
wands,Original,50,352,29,0.6896551724137931,1.0,50
wands,Original,50,353,1,1.0,1.0,50
wands,Original,50,354,0,,1.0,50
wands,Original,50,355,30,0.6666666666666666,1.0,50
wands,Original,50,356,0,,1.0,50
wands,Original,50,357,34,0.35294117647058826,0.8650111786183293,50
wands,Original,50,358,4,1.0,0.9845927117629544,50
wands,Original,50,359,8,1.0,0.8955036977692067,50
wands,Original,50,360,0,,0.7273298443105221,50
wands,Original,50,361,25,0.8,1.0,50
wands,Original,50,362,0,,1.0,50
wands,Original,50,363,1,0.0,0.6943559465628248,50
wands,Original,50,364,0,,0.77990823370192,50
wands,Original,50,365,9,1.0,0.8349088597443306,50
wands,Original,50,366,0,,,50
wands,Original,50,367,42,0.14285714285714285,0.727329844310522,50
wands,Original,50,368,81,0.24691358024691357,1.0,50
wands,Original,50,369,2,0.0,0.5821032065260975,50
wands,Original,50,370,1,0.0,0.0,50
wands,Original,50,371,8,0.375,0.42215000375741857,50
wands,Original,50,372,1,1.0,0.9517900181710754,50
wands,Original,50,373,0,,1.0,50
wands,Original,50,374,0,,0.9216017310213247,50
wands,Original,50,375,0,,1.0,50
wands,Original,50,376,3,0.6666666666666666,0.8864335680588812,50
wands,Original,50,377,0,,1.0,50
wands,Original,50,378,0,,1.0,50
wands,Original,50,379,0,,1.0,50
wands,Original,50,380,6,1.0,0.9740816258588203,50
wands,Original,50,381,0,,1.0,50
wands,Original,50,382,4,0.0,0.470018260101859,50
wands,Original,50,383,0,,0.0,50
wands,Original,50,384,20,0.95,1.0,50
wands,Original,50,385,0,,0.8611375561264456,50
wands,Original,50,386,0,,0.2200917662980802,50
wands,Original,50,387,0,,1.0,50
wands,Original,50,388,0,,0.9363792118010483,50
wands,Original,50,389,157,0.06369426751592357,0.8800456786592188,50
wands,Original,50,390,0,,1.0,50
wands,Original,50,391,8,0.25,0.6269166809432046,50
wands,Original,50,392,0,,1.0,50
wands,Original,50,393,0,,0.77990823370192,50
wands,Original,50,394,0,,0.6489315753318466,50
wands,Original,50,395,0,,0.46900009332067494,50
wands,Original,50,396,1,1.0,1.0,50
wands,Original,50,397,0,,1.0,50
wands,Original,50,398,19,0.7368421052631579,1.0,50
wands,Original,50,399,0,,1.0,50
wands,Original,50,400,0,,0.35895421017163476,50
wands,Original,50,401,18,0.2777777777777778,0.49120494769811857,50
wands,Original,50,402,7,0.14285714285714285,0.4408139232357006,50
wands,Original,50,403,31,0.06451612903225806,0.345248153930502,50
wands,Original,50,404,4,0.0,0.470018260101859,50
wands,Original,50,405,0,,0.6489315753318466,50
wands,Original,50,406,22,0.2727272727272727,0.37574719213263447,50
wands,Original,50,407,11,0.36363636363636365,0.42590829591570295,50
wands,Original,50,408,31,0.6451612903225806,1.0,50
wands,Original,50,409,40,0.025,0.3775028156362593,50
wands,Original,50,410,58,0.3103448275862069,0.9537125187088151,50
wands,Original,50,411,85,0.23529411764705882,1.0,50
wands,Original,50,412,1,1.0,1.0,50
wands,Original,50,413,1,1.0,1.0,50
wands,Original,50,414,165,0.12121212121212122,1.0,50
wands,Original,50,415,75,0.26666666666666666,1.0,50
wands,Original,50,416,0,,1.0,50
wands,Original,50,417,188,0.0797872340425532,0.8650111786183293,50
wands,Original,50,418,608,0.03289473684210526,1.0,50
wands,Original,50,419,16,0.0,0.0,50
wands,Original,50,420,766,0.02349869451697128,1.0,50
wands,Original,50,421,649,0.030816640986132512,1.0,50
wands,Original,50,422,428,0.04672897196261682,1.0,50
wands,Original,50,423,285,0.07017543859649122,1.0,50
wands,Original,50,424,4,1.0,0.7946659047843281,50
wands,Original,50,425,56,0.07142857142857142,0.3965255762463672,50
wands,Original,50,426,223,0.08520179372197309,1.0,50
wands,Original,50,427,0,,0.8630152897016883,50
wands,Original,50,428,66,0.18181818181818182,0.8988252059479764,50
wands,Original,50,429,94,0.09574468085106383,0.6889051188362224,50
wands,Original,50,430,98,0.19387755102040816,1.0,50
wands,Original,50,431,75,0.25333333333333335,1.0,50
wands,Original,50,432,42,0.42857142857142855,1.0,50
wands,Original,50,433,113,0.17699115044247787,1.0,50
wands,Original,50,434,226,0.08849557522123894,1.0,50
wands,Original,50,435,47,0.0425531914893617,0.5323266901845036,50
wands,Original,50,436,46,0.2608695652173913,0.9095430364058891,50
wands,Original,50,437,47,0.2127659574468085,0.663093103708534,50
wands,Original,50,438,101,0.18811881188118812,1.0,50
wands,Original,50,439,216,0.08796296296296297,0.9477344873475498,50
wands,Original,50,440,255,0.058823529411764705,0.8632555551147044,50
wands,Original,50,441,78,0.1282051282051282,0.9510907186004267,50
wands,Original,50,442,70,0.2571428571428571,0.8634438349876061,50
wands,Original,50,443,352,0.019886363636363636,0.8006937664098821,50
wands,Original,50,444,114,0.09649122807017543,0.8527809579781418,50
wands,Original,50,445,170,0.10588235294117647,0.8926382747840401,50
wands,Original,50,446,57,0.3333333333333333,1.0,50
wands,Original,50,447,3,0.0,0.5159958223394444,50
wands,Original,50,448,81,0.0,0.15633336444022494,50
wands,Original,50,449,164,0.012195121951219513,0.3589542101716347,50
wands,Original,50,451,0,,0.35895421017163476,50
wands,Original,50,452,0,,1.0,50
wands,Original,50,453,25,0.2,0.698891486057981,50
wands,Original,50,454,0,,1.0,50
wands,Original,50,455,2,0.5,0.8383354523103075,50
wands,Original,50,456,76,0.11842105263157894,0.5500426749626679,50
wands,Original,50,457,0,,1.0,50
wands,Original,50,458,0,,0.5637884576902257,50
wands,Original,50,459,19,0.5789473684210527,1.0,50
wands,Original,50,460,7,0.0,0.12690829231785733,50
wands,Original,50,461,4,1.0,1.0,50
wands,Original,50,462,0,,0.0,50
wands,Original,50,463,139,0.14388489208633093,1.0,50
wands,Original,50,464,85,0.2235294117647059,1.0,50
wands,Original,50,465,1,0.0,0.0,50
wands,Original,50,466,1,0.0,0.6943559465628248,50
wands,Original,50,467,0,,1.0,50
wands,Original,50,468,4,0.75,0.8764130927828556,50
wands,Original,50,469,64,0.28125,0.955830517697074,50
wands,Original,50,470,45,0.4444444444444444,1.0,50
wands,Original,50,471,1,1.0,1.0,50
wands,Original,50,472,47,0.40425531914893614,0.9432379215722527,50
wands,Original,50,473,126,0.14285714285714285,1.0,50
wands,Original,50,474,0,,1.0,50
wands,Original,50,475,0,,0.0,50
wands,Original,50,476,639,0.0297339593114241,0.8532721558012799,50
wands,Original,50,478,1,1.0,0.6943559465628248,50
wands,Original,50,479,0,,1.0,50
wands,Original,50,480,0,,1.0,50
wands,Original,50,481,1,0.0,0.5415339198442375,50
wands,Original,50,482,12,0.8333333333333334,0.8969504402810679,50
wands,Original,50,483,4,0.5,0.6625699333577822,50
wands,Original,50,484,0,,1.0,50
wands,Original,50,485,0,,0.77990823370192,50
wands,Original,50,486,0,,1.0,50
wands,Original,50,487,2,0.0,0.0,50
wands,Original,100,0,39,0.20512820512820512,0.6255245960502868,100
wands,Original,100,1,8,0.125,0.5255664792793981,100
wands,Original,100,2,151,0.12582781456953643,0.9510907186004267,100
wands,Original,100,3,55,0.23636363636363636,0.8796171333733009,100
wands,Original,100,4,23,0.043478260869565216,0.3333333333333333,100
wands,Original,100,5,179,0.11173184357541899,1.0,100
wands,Original,100,6,43,0.16279069767441862,0.817859475694209,100
wands,Original,100,7,23,0.43478260869565216,0.8800456786592188,100
