epoch,loss,dev_recall100,training_seconds,generation_seconds,ranking_seconds,invariance_max_l2
1,0.23522332725507436,0.771542074228946,0.28100000019185245,0.5940000000409782,0.10899999993853271,1.6381316925162537e-07
2,0.16193185294995377,0.6709919301804693,0.2339999999385327,0.5779999999795109,0.0940000000409782,1.5323327318128577e-07
3,0.12358141777825443,0.531882181375674,0.2809999999590218,0.5779999999795109,0.0779999999795109,1.4627002542511036e-07
4,0.08995087966049983,0.607383151493754,0.23400000017136335,0.5779999999795109,0.0779999999795109,1.7604445190499973e-07
