query_id,cNDCG@10,cNDCG@20,Recall@20,HighestRecall@20,RelevantHidden@20,VI@20_query,has_highest
165,0.3478570944939549,0.43019583662801086,0.0,0.0,1.0,0.0,True
433,0.1142953579830012,0.2577538716495723,0.52,0.42857142857142855,0.5714285714285714,0.0,True
500,0.8052674711861245,0.8406036416870671,0.5,0.7727272727272727,0.2272727272727273,0.13636363636363635,True
541,0.6948246481139794,0.9076226563025087,0.9375,1.0,0.0,0.14285714285714285,True
598,0.4491127691454087,0.5301225298439015,0.21739130434782608,0.2857142857142857,0.7142857142857143,0.07142857142857142,True
600,0.862526180565181,0.8444534266644009,0.53125,0.5769230769230769,0.42307692307692313,0.038461538461538464,True
602,0.5558263241575514,0.5558263241575514,0.0,0.0,1.0,0.0,True
622,0.692428673707618,0.6256977641910866,0.47368421052631576,0.4230769230769231,0.5769230769230769,0.23076923076923078,True
637,0.7191245710479386,0.8539769718017803,0.9375,0.9230769230769231,0.07692307692307687,0.0,True
861,0.32999615767882007,0.421903233421929,0.24324324324324326,0.16666666666666666,0.8333333333333334,0.08333333333333333,True
933,0.23627530732401175,0.524324798732173,0.8125,0.5,0.5,0.0,True
978,0.6464942881695721,0.8308655352483085,0.875,0.8333333333333334,0.16666666666666663,0.0,True
1210,0.2190034686280092,0.36252479047268854,0.0,0.0,1.0,0.0,True
1293,0.3311383001589087,0.38667425811353445,0.5172413793103449,0.4,0.6,0.2,True
1310,0.18437673220009346,0.22308949096568118,0.43478260869565216,0.0,1.0,0.0,True
1458,0.8357804136936722,0.8134184261375781,0.48484848484848486,0.8,0.19999999999999996,0.06666666666666667,True
1476,0.6394406944366077,0.6626542790462785,0.5428571428571428,0.6470588235294118,0.3529411764705882,0.17647058823529413,True
1530,0.2730618297713328,0.46561354485411377,0.5,0.5882352941176471,0.4117647058823529,0.17647058823529413,True
1659,0.5954219489992271,0.5930103676540802,0.47619047619047616,0.6,0.4,0.0,True
1816,0.5838276555272331,0.5957295289271783,0.9285714285714286,1.0,0.0,0.0,True
2286,0.42267106584821096,0.5930072138855942,0.2,0.07692307692307693,0.9230769230769231,0.07692307692307693,True
2390,0.21529530127038102,0.39683416913207525,0.8125,1.0,0.0,0.0,True
2692,0.5886020890202132,0.7260883165513273,0.875,0.8571428571428571,0.1428571428571429,0.2857142857142857,True
2855,0.4784373414478124,0.6083199609212924,0.38235294117647056,0.7142857142857143,0.2857142857142857,0.14285714285714285,True
3012,0.46648221885300695,0.5560760447468346,0.5384615384615384,0.4,0.6,0.2,True
3492,1.0,1.0,1.0,1.0,0.0,0.0,True
3494,0.6812060741152738,0.8562094650165623,1.0,1.0,0.0,0.0,True
3986,0.9146904720674044,0.9691772221837749,1.0,1.0,0.0,0.0,True
4299,0.5219403281436985,0.5290468604310943,0.375,1.0,0.0,0.0,True
4321,0.15728863312714925,0.3199548283314412,0.0,0.0,1.0,0.0,True
4860,0.49618738327670586,0.642314770335833,0.75,1.0,0.0,0.5,True
4956,0.7967099058496058,0.9435687701065361,0.75,0.8571428571428571,0.1428571428571429,0.14285714285714285,True
5079,0.5345992773629669,0.8148978950138094,0.375,0.3,0.7,0.0,True
5094,0.8527237332178331,0.9670305007662722,0.9375,0.9090909090909091,0.09090909090909094,0.09090909090909091,True
5419,0.436709077868693,0.529438490852997,1.0,1.0,0.0,0.0,True
5787,0.8783909287498268,0.8783909287498268,0.6666666666666666,0.5,0.5,0.0,True
5921,0.5846183971342575,0.5846183971342575,0.6666666666666666,0.5,0.5,0.0,True
6138,0.8419504920076933,0.8429110703192835,0.9333333333333333,1.0,0.0,0.0,True
6685,0.7691970797440156,0.9033798351258464,0.5333333333333333,0.75,0.25,0.25,True
7034,0.04388065628739695,0.2919221293874042,0.4666666666666667,0.0,1.0,0.0,True
7126,0.8829713087812984,0.9587435768920238,0.9230769230769231,1.0,0.0,0.0,True
7303,0.8910545756824505,0.9454066060667536,0.9285714285714286,1.0,0.0,0.0,True
7340,0.46373439128842325,0.46873464306101204,0.8125,1.0,0.0,0.0,True
7545,0.6477805604276461,0.8355027772941721,0.9375,1.0,0.0,0.0,True
7581,0.6673371797745199,0.8391684649376011,0.9166666666666666,1.0,0.0,0.0,True
8063,0.92663607790064,0.9825864301760823,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.25,True
8519,0.5803534665592636,0.7846145217554574,0.7142857142857143,0.75,0.25,0.25,True
8605,0.8192424985064938,0.9036513070889941,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0,True
8740,0.04388065628739695,0.31422068359376065,0.16666666666666666,0.0,1.0,0.0,True
9096,0.6290805551822863,0.8087328945568528,1.0,1.0,0.0,0.0,True
9695,0.5550977283177277,0.736558952661487,1.0,1.0,0.0,0.0,True
9776,0.723387696680082,0.9083194678855995,0.8125,0.8888888888888888,0.11111111111111116,0.2222222222222222,True
9967,0.4441228664487979,0.5709398832811914,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.0,True
10312,0.6117244798277179,0.5705850191912085,0.40625,0.35,0.65,0.0,True
10370,0.8486026589039901,0.9678027045924421,1.0,1.0,0.0,0.0,True
11509,0.5186309307691127,0.6102839428862792,0.21428571428571427,0.0,1.0,0.0,True
11621,1.0,1.0,0.13333333333333333,1.0,0.0,0.0,True
11875,0.7349454746226841,0.7373277918360441,0.9230769230769231,1.0,0.0,0.0,True
11925,1.0,0.9662776574665773,0.3888888888888889,0.5,0.5,0.03571428571428571,True
12176,0.68732078699535,0.6252385291085663,0.13953488372093023,0.18518518518518517,0.8148148148148149,0.07407407407407407,True
12432,0.85011663231495,0.9646881432715984,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.08333333333333333,True
12557,0.6146784352984601,0.6152845619079219,0.3333333333333333,0.375,0.625,0.0,True
12664,0.4606095437588605,0.7068109057477263,0.9444444444444444,0.8,0.19999999999999996,0.0,True
12809,0.7277827243185642,0.7277827243185642,0.8,1.0,0.0,0.0,True
13089,0.7094975843825668,0.7794161098409025,0.5,0.46875,0.53125,0.09375,True
13169,0.818424292804084,0.933779339987999,0.5625,0.6363636363636364,0.36363636363636365,0.18181818181818182,True
13471,0.857980942822373,0.8019145687027952,0.5925925925925926,0.7142857142857143,0.2857142857142857,0.09523809523809523,True
13639,0.77990823370192,0.8711304194636228,0.8,0.8,0.19999999999999996,0.0,True
13785,0.9089433193822426,0.9767500261237797,0.46153846153846156,0.75,0.25,0.0,True
13954,0.849755430832745,0.9639854546821566,1.0,1.0,0.0,0.0,True
14346,0.92663607790064,0.9844113321260956,0.25,0.3,0.7,0.0,True
14880,0.6816587806335841,0.7792537931316096,0.5,0.5,0.5,0.0,True
14882,0.4593170855771768,0.6865211847004513,0.5757575757575758,0.8181818181818182,0.18181818181818177,0.2727272727272727,True
15154,0.9157083135347952,0.9104459879994038,0.03225806451612903,0.03571428571428571,0.9642857142857143,0.0,True
15164,0.7135701677534838,0.7878357581055733,0.875,1.0,0.0,0.0,True
15311,0.6827944375343122,0.9073259568989306,0.3076923076923077,0.3,0.7,0.1,True
15647,0.7016951813607913,0.6617111781780812,0.53125,0.5714285714285714,0.4285714285714286,0.14285714285714285,True
15716,0.934408318780155,0.8915293144153363,0.5128205128205128,0.8571428571428571,0.1428571428571429,0.0,True
