query_id,cNDCG@10,cNDCG@20,Recall@20,HighestRecall@20,RelevantHidden@20,VI@20_query,has_highest
165,0.35638503895657003,0.514515238341391,0.125,0.0,1.0,0.3333333333333333,True
433,0.1936004475866928,0.40742093170481436,0.64,0.7142857142857143,0.2857142857142857,0.0,True
500,0.9273697171216337,0.9211677780033202,0.45,0.7272727272727273,0.2727272727272727,0.09090909090909091,True
541,0.6742297860715859,0.8756286839347496,0.8125,0.8571428571428571,0.1428571428571429,0.0,True
598,0.5834649167974094,0.6376679646949189,0.34782608695652173,0.42857142857142855,0.5714285714285714,0.07142857142857142,True
600,0.7437783089002834,0.8346428865970532,0.53125,0.5384615384615384,0.46153846153846156,0.15384615384615385,True
602,0.5253984689259608,0.5253984689259608,0.0,0.0,1.0,0.0,True
622,0.5564502723039201,0.6371927384080553,0.5,0.5384615384615384,0.46153846153846156,0.11538461538461539,True
637,0.7821091513649008,0.859754620512863,0.375,0.38461538461538464,0.6153846153846154,0.15384615384615385,True
861,0.1629169289007004,0.3257924723718348,0.40540540540540543,0.2916666666666667,0.7083333333333333,0.08333333333333333,True
933,0.39980482440350684,0.6001422309720791,0.625,0.5,0.5,0.0,True
978,0.6400125300017646,0.8760504312802717,1.0,1.0,0.0,0.0,True
1210,0.0,0.14785358409027266,0.0,0.0,1.0,0.0,True
1293,0.2166044345336713,0.2745454408821229,0.4827586206896552,0.3,0.7,0.1,True
1310,0.15670498049119594,0.20107991228381236,0.34782608695652173,0.0,1.0,0.0,True
1458,0.5462574254588146,0.5611990391938684,0.48484848484848486,0.6666666666666666,0.33333333333333337,0.0,True
1476,0.42764056381633403,0.4577114203066034,0.4857142857142857,0.5294117647058824,0.47058823529411764,0.0,True
1530,0.3956025023996426,0.4385243276500599,0.4642857142857143,0.5294117647058824,0.47058823529411764,0.11764705882352941,True
1659,0.12808223105584918,0.30165550505922906,0.42857142857142855,0.6,0.4,0.0,True
1816,0.6976801937692908,0.8027783004274173,0.9285714285714286,1.0,0.0,0.0,True
2286,0.46093401451126803,0.6642807474823412,0.3,0.23076923076923078,0.7692307692307692,0.07692307692307693,True
2390,0.19016317819658102,0.36310645183948526,0.6875,0.5,0.5,0.0,True
2692,0.5653495315654143,0.7740991330581141,0.875,0.8571428571428571,0.1428571428571429,0.0,True
2855,0.5018563668953755,0.5798451271838752,0.5294117647058824,0.7142857142857143,0.2857142857142857,0.0,True
3012,0.22066729311076574,0.47496477427944256,0.8461538461538461,0.8,0.19999999999999996,0.0,True
3492,1.0,1.0,0.9333333333333333,1.0,0.0,0.0,True
3494,0.7529694065526482,0.9255699845708271,1.0,1.0,0.0,0.0,True
3986,0.9009587051658641,0.9556054514784129,0.9375,0.9285714285714286,0.0714285714285714,0.0,True
4299,0.6471247982008933,0.6523704174460165,0.375,1.0,0.0,0.0,True
4321,0.382373785150482,0.4599113262863149,0.0,0.0,1.0,0.0,True
4860,0.42998897575714645,0.5691640845387563,0.6875,0.5,0.5,0.0,True
4956,0.8314085932731959,0.9134494477747203,0.6875,0.8571428571428571,0.1428571428571429,0.0,True
